company,job,number_of_evaluations
Software Placement Group,Bay Major Accounts | #1235,-
Upstart,Data Scientist - Machine Learning / Deep Learning Specialist,5 reviews
ThirdLove,VP of Customer Experience,16 reviews
Squaretrade,Business Development Analyst,25 reviews
Autodesk,"Information Security Engineer, Data Protection",307 reviews
Zoosk,Senior Data Analyst,10 reviews
"Williams-Sonoma, Inc.","Analyst, email Database Marketing","1,538 reviews"
Samsung NEXT,Developer Evangelist - Data Science and Deep Learning,-
VSCO,Data Engineer,-
"Grammarly, Inc.",Growth Strategist,-
Zillow Group,Listing Support Specialist (Contract),64 reviews
"Williams-Sonoma, Inc.","Assistant Planner, OMNI Home Furnishing - Pottery Barn","1,538 reviews"
Callisto Media,Product Copywriter,3 reviews
"Rodan and Fields, LLC",Sr. Big Data and Analytics Solution Architect,130 reviews
Change.org,Director of Data,2 reviews
Edelman,"Intern, Digital Analytics",90 reviews
Motif Investing,Motif Capital – Data Scientist,2 reviews
Qualys,Data Analyst,13 reviews
"lvl5, Inc.",Mapping Engineer (Data Scientist),-
"Williams-Sonoma, Inc.","Analyst, CRM - Pottery Barn","1,538 reviews"
"Williams-Sonoma, Inc.",Sr. Data Scientist,"1,538 reviews"
DuPont,Remote Sensing Data Scientist (PhD),946 reviews
GotIt!,Operations Associate,-
Autodesk,Business Strategy Analyst,307 reviews
Credit Karma,Bilingual (Spanish/English) Member Support Specialist,6 reviews
SmartPay Leasing,Principal Data Scientist,-
Microsoft,Business Program Manager at Mobile Data Labs,"4,485 reviews"
Proofpoint,Senior Data Engineer,28 reviews
Burstorm,Data Management & Integration Engineer,-
Make School,Data Science Instructor,-
Square,Product Designer - Weebly,51 reviews
Method Products,Payroll + Benefits Associate,4 reviews
Acumen LLC,Data Systems Programmer-Research Specialist,12 reviews
IBM,Advanced Cognitive Platform Data Engineer,"21,724 reviews"
goPuff,Lead Data Engineer,24 reviews
"Williams-Sonoma, Inc.",Distribution Analyst,"1,538 reviews"
UserTesting,Sr. Data Scientist,17 reviews
HotelTonight,Senior Data Analyst,5 reviews
Uber,Head of Uber Health,479 reviews
Dropbox,Sr. Workspace PMM,21 reviews
Sumeru Solutions,"Director, Data Platform",2 reviews
Chartio,Content Marketing Interns for Data Analytics,-
"Williams-Sonoma, Inc.","Associate Buyer, Textiles - Williams Sonoma Home","1,538 reviews"
Adobe,"Applied Scientist, Machine Learning",439 reviews
Funding Circle US,Senior Data Engineer,-
World Wildlife Fund,Data and Technology Global Lead Scientist,34 reviews
Clarity Insights,"Data Visualization Specialist - Consultant (Tableau or Alteryx) - San Francisco, CA",7 reviews
"Williams-Sonoma, Inc.",Assistant Planner,"1,538 reviews"
Amazon.com,Lead UX Designer,"24,699 reviews"
